Theory,Practical,Total,Percentage,Percentile  State,Percentile State Theory
309,97,406,81.2,22.2,16.2
316,95,411,82.2,24.2,20.2
360,95,455,91,72.7,63.6
307,81,388,77.6,9.1,14.1
352,83,435,87,46.5,51.5
291,90,381,76.2,4,0
312,90,402,80.4,17.2,18.2
394,91,485,97,99,97
298,81,379,75.8,3,6.1
329,92,421,84.2,39.4,34.3
340,97,437,87.4,49.5,45.5
391,90,481,96.2,96,94.9
317,96,413,82.6,30.3,22.2
360,91,451,90.2,68.7,63.6
395,86,481,96.2,96,99
323,82,405,81,19.2,27.3
344,82,426,85.2,43.4,47.5
316,96,412,82.4,29.3,20.2
329,88,417,83.4,34.3,34.3
301,83,384,76.8,7.1,9.1
336,95,431,86.2,45.5,44.4
322,89,411,82.2,24.2,26.3
364,80,444,88.8,55.6,71.7
347,88,435,87,46.5,49.5
321,84,405,81,19.2,25.3
394,93,487,97.4,100,97
379,84,463,92.6,75.8,83.8
390,88,478,95.6,91.9,92.9
299,84,383,76.6,6.1,8.1
361,83,444,88.8,55.6,66.7
390,88,478,95.6,91.9,92.9
358,82,440,88,52.5,58.6
298,84,382,76.4,5.1,6.1
385,88,473,94.6,89.9,89.9
357,91,448,89.6,60.6,57.6
348,97,445,89,57.6,50.5
376,88,464,92.8,79.8,79.8
354,94,448,89.6,60.6,52.5
317,94,411,82.2,24.2,22.2
389,84,473,94.6,89.9,91.9
362,86,448,89.6,60.6,68.7
306,89,395,79,15.2,13.1
358,93,451,90.2,68.7,58.6
379,93,472,94.4,88.9,83.8
325,84,409,81.8,23.2,30.3
387,93,480,96,93.9,90.9
297,88,385,77,8.1,3
374,80,454,90.8,71.7,77.8
365,83,448,89.6,60.6,72.7
359,80,439,87.8,50.5,61.6
297,91,388,77.6,9.1,3
319,92,411,82.2,24.2,24.2
335,86,421,84.2,39.4,43.4
376,91,467,93.4,83.8,79.8
393,87,480,96,93.9,96
376,90,466,93.2,82.8,79.8
360,88,448,89.6,60.6,63.6
381,82,463,92.6,75.8,86.9
333,82,415,83,32.3,38.4
301,89,390,78,11.1,9.1
310,85,395,79,15.2,17.2
329,95,424,84.8,42.4,34.3
379,90,469,93.8,85.9,83.8
361,91,452,90.4,70.7,66.7
324,95,419,83.8,37.4,29.3
381,89,470,94,86.9,86.9
395,87,482,96.4,98,99
325,93,418,83.6,35.4,30.3
301,92,393,78.6,14.1,9.1
372,92,464,92.8,79.8,73.7
372,91,463,92.6,75.8,73.7
373,92,465,93,81.8,76.8
334,86,420,84,38.4,40.4
372,84,456,91.2,73.7,73.7
297,81,378,75.6,1,3
363,93,456,91.2,73.7,69.7
313,89,402,80.4,17.2,19.2
327,86,413,82.6,30.3,33.3
382,86,468,93.6,84.8,88.9
326,92,418,83.6,35.4,32.3
354,94,448,89.6,60.6,52.5
333,96,429,85.8,44.4,38.4
359,91,450,90,67.7,61.6
344,96,440,88,52.5,47.5
363,85,448,89.6,60.6,69.7
340,96,436,87.2,48.5,45.5
329,82,411,82.2,24.2,34.3
355,86,441,88.2,54.5,54.5
334,87,421,84.2,39.4,40.4
358,81,439,87.8,50.5,58.6
375,95,470,94,86.9,78.8
305,85,390,78,11.1,12.1
308,82,390,78,11.1,15.2
291,87,378,75.6,1,0
355,90,445,89,57.6,54.5
334,82,416,83.2,33.3,40.4
356,89,445,89,57.6,56.6
294,81,375,75,0,2
376,87,463,92.6,75.8,79.8
323,82,405,81,19.2,27.3
