Theory,Practical,Total,Percentage,Percentile  State,Percentile State Theory
315,97,412,82.4,13.1,14.1
323,95,418,83.6,20.2,24.2
380,95,475,95,73.7,74.7
391,98,489,97.8,89.9,90.9
380,98,478,95.6,78.8,74.7
308,100,408,81.6,9.1,8.1
395,97,492,98.4,97,97
361,100,461,92.2,62.6,62.6
373,100,473,94.6,69.7,68.7
355,98,453,90.6,57.6,56.6
384,97,481,96.2,82.8,82.8
300,96,396,79.2,0,0
349,100,449,89.8,50.5,50.5
318,96,414,82.8,16.2,16.2
302,98,400,80,3,3
394,97,491,98.2,94.9,94.9
346,98,444,88.8,49.5,48.5
346,95,441,88.2,47.5,48.5
342,95,437,87.4,43.4,44.4
340,95,435,87,41.4,43.4
321,98,419,83.8,22.2,20.2
365,99,464,92.8,65.7,64.6
345,96,441,88.2,47.5,47.5
384,100,484,96.8,86.9,82.8
304,97,401,80.2,4,4
386,96,482,96.4,83.8,84.8
389,100,489,97.8,89.9,88.9
306,97,403,80.6,5.1,5.1
391,95,486,97.2,88.9,90.9
380,96,476,95.2,75.8,74.7
332,95,427,85.4,30.3,35.4
353,96,449,89.8,50.5,54.5
306,98,404,80.8,6.1,5.1
309,98,407,81.4,8.1,9.1
323,96,419,83.8,22.2,24.2
336,96,432,86.4,39.4,40.4
322,99,421,84.2,25.3,22.2
368,98,466,93.2,66.7,65.7
311,99,410,82,11.1,10.1
335,96,431,86.2,38.4,39.4
330,100,430,86,36.4,32.3
322,97,419,83.8,22.2,22.2
386,98,484,96.8,86.9,84.8
324,98,422,84.4,27.3,26.3
390,100,490,98,92.9,89.9
377,100,477,95.4,77.8,73.7
320,95,415,83,18.2,18.2
388,95,483,96.6,85.9,87.9
351,100,451,90.2,53.5,51.5
313,97,410,82,11.1,12.1
312,100,412,82.4,13.1,11.1
383,95,478,95.6,78.8,81.8
334,98,432,86.4,39.4,38.4
320,96,416,83.2,19.2,18.2
336,100,436,87.2,42.4,40.4
352,100,452,90.4,55.6,52.5
352,99,451,90.2,53.5,52.5
371,98,469,93.8,67.7,67.7
364,97,461,92.2,62.6,63.6
374,97,471,94.2,68.7,70.7
343,96,439,87.8,46.5,45.5
332,95,427,85.4,30.3,35.4
343,95,438,87.6,45.5,45.5
328,100,428,85.6,33.3,30.3
301,96,397,79.4,1,1
398,97,495,99,99,99
355,99,454,90.8,59.6,56.6
392,98,490,98,92.9,92.9
380,96,476,95.2,75.8,74.7
400,98,498,99.6,100,100
331,99,430,86,36.4,34.3
337,100,437,87.4,43.4,42.4
333,95,428,85.6,33.3,37.4
358,98,456,91.2,60.6,60.6
327,99,426,85.2,28.3,28.3
380,99,479,95.8,81.8,74.7
329,97,426,85.2,28.3,31.3
394,99,493,98.6,98,94.9
321,97,418,83.6,20.2,20.2
368,95,463,92.6,64.6,65.7
393,96,489,97.8,89.9,93.9
327,100,427,85.4,30.3,28.3
356,96,452,90.4,55.6,59.6
396,95,491,98.2,94.9,98
330,99,429,85.8,35.4,32.3
301,96,397,79.4,1,1
374,100,474,94.8,72.7,70.7
355,98,453,90.6,57.6,56.6
360,96,456,91.2,60.6,61.6
315,98,413,82.6,15.2,14.1
380,95,475,95,73.7,74.7
381,97,478,95.6,78.8,80.8
307,99,406,81.2,7.1,7.1
326,95,421,84.2,25.3,27.3
313,96,409,81.8,10.1,12.1
319,95,414,82.8,16.2,17.2
353,97,450,90,52.5,54.5
386,96,482,96.4,83.8,84.8
374,99,473,94.6,69.7,70.7
373,100,473,94.6,69.7,68.7
