Theory,Practical,Total,Percentage,Percentile  State,Percentile State Theory
384,77,461,92.2,80.8,83.8
329,85,414,82.8,34.3,28.3
304,79,383,76.6,3,4
358,87,445,89,66.7,65.7
308,88,396,79.2,15.2,8.1
339,75,414,82.8,34.3,45.5
346,80,426,85.2,52.5,55.6
396,88,484,96.8,99,97
359,81,440,88,61.6,66.7
368,77,445,89,66.7,71.7
315,85,400,80,19.2,15.2
330,82,412,82.4,31.3,31.3
399,75,474,94.8,90.9,99
319,77,396,79.2,15.2,21.2
301,90,391,78.2,9.1,2
375,87,462,92.4,81.8,78.8
313,86,399,79.8,18.2,12.1
360,88,448,89.6,69.7,67.7
332,76,408,81.6,27.3,34.3
389,86,475,95,91.9,85.9
300,79,379,75.8,1,0
321,79,400,80,19.2,22.2
384,89,473,94.6,88.9,83.8
377,83,460,92,78.8,80.8
330,88,418,83.6,41.4,31.3
333,78,411,82.2,30.3,37.4
374,85,459,91.8,76.8,76.8
335,83,418,83.6,41.4,41.4
374,86,460,92,78.8,76.8
317,77,394,78.8,13.1,18.2
334,79,413,82.6,33.3,38.4
340,84,424,84.8,49.5,47.5
350,87,437,87.4,58.6,57.6
329,87,416,83.2,38.4,28.3
329,76,405,81,24.2,28.3
341,75,416,83.2,38.4,48.5
334,85,419,83.8,45.5,38.4
391,76,467,93.4,82.8,90.9
354,85,439,87.8,60.6,61.6
371,79,450,90,71.7,74.7
309,76,385,77,5.1,11.1
375,75,450,90,71.7,78.8
398,88,486,97.2,100,98
318,75,393,78.6,12.1,19.2
350,88,438,87.6,59.6,57.6
343,85,428,85.6,54.5,52.5
325,77,402,80.4,23.2,24.2
326,81,407,81.4,26.3,25.3
304,87,391,78.2,9.1,4
361,90,451,90.2,73.7,68.7
313,79,392,78.4,11.1,12.1
327,83,410,82,29.3,26.3
301,78,379,75.8,1,2
347,82,429,85.8,55.6,56.6
330,75,405,81,24.2,31.3
354,90,444,88.8,65.7,61.6
332,77,409,81.8,28.3,34.3
300,77,377,75.4,0,0
338,81,419,83.8,45.5,43.4
339,76,415,83,37.4,45.5
308,79,387,77.4,6.1,8.1
400,78,478,95.6,97,100
368,79,447,89.4,68.7,71.7
391,87,478,95.6,97,90.9
322,90,412,82.4,31.3,23.2
341,83,424,84.8,49.5,48.5
315,80,395,79,14.1,15.2
394,76,470,94,86.9,94.9
313,84,397,79.4,17.2,12.1
391,78,469,93.8,85.9,90.9
357,84,441,88.2,63.6,64.6
389,86,475,95,91.9,85.9
356,84,440,88,61.6,63.6
338,80,418,83.6,41.4,43.4
318,83,401,80.2,21.2,19.2
316,85,401,80.2,21.2,17.2
362,89,451,90.2,73.7,69.7
304,79,383,76.6,3,4
382,85,467,93.4,82.8,81.8
353,81,434,86.8,57.6,59.6
344,79,423,84.6,48.5,53.5
344,77,421,84.2,47.5,53.5
334,80,414,82.8,34.3,38.4
390,80,470,94,86.9,89.9
332,86,418,83.6,41.4,34.3
393,82,475,95,91.9,93.9
342,84,426,85.2,52.5,50.5
370,81,451,90.2,73.7,73.7
308,82,390,78,8.1,8.1
342,89,431,86.2,56.6,50.5
365,84,449,89.8,70.7,70.7
389,86,475,95,91.9,85.9
395,82,477,95.4,96,96
306,82,388,77.6,7.1,7.1
382,86,468,93.6,84.8,81.8
389,84,473,94.6,88.9,85.9
372,87,459,91.8,76.8,75.8
337,88,425,85,51.5,42.4
353,90,443,88.6,64.6,59.6
328,89,417,83.4,40.4,27.3
