Theory,Practical,Total,Percentage,Percentile  State,Percentile State Theory
376,89,465,93,76.8,79.8
397,90,487,97.4,94.9,100
332,95,427,85.4,40.4,37.4
395,98,493,98.6,100,97
371,92,463,92.6,72.7,72.7
356,92,448,89.6,62.6,63.6
384,89,473,94.6,89.9,90.9
301,98,399,79.8,9.1,4
335,92,427,85.4,40.4,41.4
300,95,395,79,6.1,3
303,89,392,78.4,3,7.1
376,87,463,92.6,72.7,79.8
309,95,404,80.8,13.1,12.1
334,92,426,85.2,37.4,40.4
372,89,461,92.2,69.7,74.7
314,91,405,81,15.2,19.2
354,88,442,88.4,54.5,59.6
333,92,425,85,35.4,39.4
340,87,427,85.4,40.4,45.5
321,86,407,81.4,18.2,23.2
327,88,415,83,24.2,28.3
317,89,406,81.2,16.2,21.2
348,96,444,88.8,57.6,53.5
328,90,418,83.6,28.3,29.3
365,86,451,90.2,67.7,68.7
396,96,492,98.4,99,99
377,94,471,94.2,85.9,81.8
311,98,409,81.8,21.2,15.2
326,97,423,84.6,31.3,27.3
329,91,420,84,30.3,30.3
395,89,484,96.8,92.9,97
302,90,392,78.4,3,6.1
319,97,416,83.2,26.3,22.2
393,87,480,96,91.9,93.9
297,89,386,77.2,2,0
367,98,465,93,76.8,69.7
361,89,450,90,65.7,66.7
393,96,489,97.8,97,93.9
313,94,407,81.4,18.2,17.2
297,88,385,77,0,0
355,90,445,89,59.6,60.6
308,88,396,79.2,7.1,9.1
370,92,462,92.4,70.7,71.7
374,97,471,94.2,85.9,76.8
380,89,469,93.8,80.8,85.9
381,94,475,95,90.9,87.9
380,92,472,94.4,87.9,85.9
379,90,469,93.8,80.8,84.8
348,89,437,87.4,50.5,53.5
316,97,413,82.6,22.2,20.2
329,94,423,84.6,31.3,30.3
392,95,487,97.4,94.9,91.9
355,88,443,88.6,55.6,60.6
298,87,385,77,0,2
308,92,400,80,10.1,9.1
356,92,448,89.6,62.6,63.6
312,94,406,81.2,16.2,16.2
377,93,470,94,84.8,81.8
351,98,449,89.8,64.6,56.6
363,87,450,90,65.7,67.7
381,86,467,93.4,78.8,87.9
341,88,429,85.8,44.4,46.5
371,93,464,92.8,75.8,72.7
304,92,396,79.2,7.1,8.1
353,92,445,89,59.6,58.6
339,94,433,86.6,47.5,44.4
343,87,430,86,45.5,48.5
375,87,462,92.4,70.7,77.8
345,90,435,87,49.5,50.5
344,93,437,87.4,50.5,49.5
330,97,427,85.4,40.4,33.3
309,98,407,81.4,18.2,12.1
372,97,469,93.8,80.8,74.7
322,94,416,83.2,26.3,24.2
346,98,444,88.8,57.6,51.5
329,86,415,83,24.2,30.3
322,96,418,83.6,28.3,24.2
338,88,426,85.2,37.4,43.4
367,96,463,92.6,72.7,69.7
309,95,404,80.8,13.1,12.1
392,94,486,97.2,93.9,91.9
330,94,424,84.8,34.3,33.3
341,97,438,87.6,52.5,46.5
322,92,414,82.8,23.2,24.2
313,89,402,80.4,11.1,17.2
360,91,451,90.2,67.7,65.7
330,95,425,85,35.4,33.3
355,92,447,89.4,61.6,60.6
350,93,443,88.6,55.6,55.6
352,88,440,88,53.5,57.6
381,91,472,94.4,87.9,87.9
331,95,426,85.2,37.4,36.4
346,86,432,86.4,46.5,51.5
394,95,489,97.8,97,96
332,91,423,84.6,31.3,37.4
301,91,392,78.4,3,4
378,91,469,93.8,80.8,83.8
336,98,434,86.8,48.5,42.4
308,94,402,80.4,11.1,9.1
375,93,468,93.6,79.8,77.8
