Theory,Practical,Total,Percentage,Percentile  State,Percentile State Theory
319,82,401,80.2,22.2,24.2
297,81,378,75.6,0,3
355,80,435,87,59.6,63.6
380,88,468,93.6,91.9,89.9
368,90,458,91.6,82.8,76.8
347,82,429,85.8,50.5,55.6
300,84,384,76.8,6.1,7.1
297,87,384,76.8,6.1,3
297,83,380,76,3,3
292,87,379,75.8,1,0
310,89,399,79.8,18.2,15.2
341,86,427,85.4,49.5,49.5
374,83,457,91.4,80.8,85.9
302,87,389,77.8,10.1,9.1
311,89,400,80,21.2,17.2
364,84,448,89.6,72.7,72.7
328,81,409,81.8,31.3,34.3
382,84,466,93.2,90.9,90.9
321,84,405,81,25.3,27.3
332,81,413,82.6,36.4,39.4
308,85,393,78.6,13.1,13.1
349,87,436,87.2,61.6,57.6
388,89,477,95.4,96,93.9
346,84,430,86,52.5,53.5
394,84,478,95.6,98,99
314,81,395,79,15.2,20.2
308,85,393,78.6,13.1,13.1
359,83,442,88.4,65.7,69.7
310,82,392,78.4,12.1,15.2
336,88,424,84.8,48.5,46.5
387,82,469,93.8,92.9,92.9
319,80,399,79.8,18.2,24.2
345,88,433,86.6,56.6,52.5
315,89,404,80.8,24.2,21.2
353,83,436,87.2,61.6,61.6
333,86,419,83.8,41.4,41.4
323,82,405,81,25.3,29.3
346,86,432,86.4,54.5,53.5
365,90,455,91,77.8,74.7
369,90,459,91.8,83.8,79.8
357,87,444,88.8,67.7,66.7
356,82,438,87.6,64.6,65.7
317,88,405,81,25.3,23.2
364,80,444,88.8,67.7,72.7
316,86,402,80.4,23.2,22.2
377,83,460,92,85.9,87.9
390,83,473,94.6,94.9,96
328,83,411,82.2,34.3,34.3
325,84,409,81.8,31.3,31.3
302,88,390,78,11.1,9.1
393,89,482,96.4,99,98
376,88,464,92.8,89.9,86.9
395,82,477,95.4,96,100
323,84,407,81.4,28.3,29.3
368,89,457,91.4,80.8,76.8
349,83,432,86.4,54.5,57.6
337,82,419,83.8,41.4,47.5
311,88,399,79.8,18.2,17.2
303,84,387,77.4,8.1,11.1
389,82,471,94.2,93.9,94.9
379,80,459,91.8,83.8,88.9
372,89,461,92.2,87.9,83.8
355,87,442,88.4,65.7,63.6
392,90,482,96.4,99,97
369,87,456,91.2,79.8,79.8
348,87,435,87,59.6,56.6
344,90,434,86.8,58.6,50.5
300,87,387,77.4,8.1,7.1
319,89,408,81.6,29.3,24.2
293,87,380,76,3,1
357,88,445,89,69.7,66.7
322,86,408,81.6,29.3,28.3
330,80,410,82,33.3,38.4
373,82,455,91,77.8,84.8
361,89,450,90,73.7,70.7
333,90,423,84.6,45.5,41.4
311,85,396,79.2,17.2,17.2
333,90,423,84.6,45.5,41.4
353,83,436,87.2,61.6,61.6
328,90,418,83.6,40.4,34.3
350,80,430,86,52.5,59.6
329,82,411,82.2,34.3,37.4
344,85,429,85.8,50.5,50.5
294,85,379,75.8,1,2
382,81,463,92.6,88.9,90.9
326,88,414,82.8,38.4,33.3
335,88,423,84.6,45.5,45.5
339,81,420,84,43.4,48.5
370,81,451,90.2,74.7,81.8
368,83,451,90.2,74.7,76.8
351,82,433,86.6,56.6,60.6
371,89,460,92,85.9,82.8
357,89,446,89.2,70.7,66.7
332,90,422,84.4,44.4,39.4
305,90,395,79,15.2,12.1
333,83,416,83.2,39.4,41.4
362,84,446,89.2,70.7,71.7
299,81,380,76,3,6.1
325,88,413,82.6,36.4,31.3
366,85,451,90.2,74.7,75.8
